TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
23.08.2000 00:00:00;37;709;10096.5576;1;0;0.1;0.1000;10096.1598
30.08.2000 00:00:00;1;15;-46717.3198;3;0;0.1914;0.0172;1763.5050
30.08.2000 00:00:00;7;-101;-29966.0956;2;0;0;-0.0957;-9826.2901
30.08.2000 00:00:00;28;776;10272.8614;1;0;0.1;0.0999;10263.3759
04.09.2000 00:00:00;15;-219;-9703.7851;3;0;0.1;-0.0784;-8300.1003
05.09.2000 00:00:00;15;-279;-29988.6995;2;0;0;-0.0999;-10540.6197
13.09.2000 00:00:00;32;223;9933.4992;1;0;0.1;0.0997;9905.6596
13.09.2000 00:00:00;1;113;13118.2905;3;0;0.33;0.1331;13220.2086
13.09.2000 00:00:00;28;-776;-10272.8614;2;0;0;-0.1021;-10145.4243
13.09.2000 00:00:00;8;-199;-9966.0956;2;0;0;-0.1058;-10507.1998
13.09.2000 00:00:00;15;245;9933.4992;1;0;0.1;0.0998;9915.1503
20.09.2000 00:00:00;39;-208;-78908.7780;2;0;0;-0.1012;-9738.56
20.09.2000 00:00:00;3;266;9621.9512;1;0;0.1;0.0998;9605.2602
21.09.2000 00:00:00;1;-133;-17184.1989;3;0;0.165;-0.1489;-14071.4004
25.09.2000 00:00:00;1;-58;-40537.4730;3;0;0.1;-0.0650;-6128.6860
26.09.2000 00:00:00;1;-89;-90502.2192;2;0;0;-0.0989;-9296.9399
28.09.2000 00:00:00;32;-223;-37003.3520;2;0;0;-0.0963;-9118.4699
04.10.2000 00:00:00;15;-245;-69910.8982;2;0;0;-0.0931;-8820
04.10.2000 00:00:00;20;128;8983.0162;3;0;0.2;0.0843;7987.2002
09.10.2000 00:00:00;27;-194;-78680.6174;2;0;0;-0.0890;-8289.6199
11.10.2000 00:00:00;13;484;9322.1219;1;0;0.1;0.0999;9308.7719
11.10.2000 00:00:00;48;483;9322.1219;1;0;0.1;0.1000;9317.553
11.10.2000 00:00:00;46;285;9322.1219;1;0;0.1;0.0998;9305.25
11.10.2000 00:00:00;28;711;9322.1219;1;0;0.1;0.1000;9321.2098
11.10.2000 00:00:00;32;211;9322.1219;1;0;0.1;0.0996;9284
11.10.2000 00:00:00;3;207;9022.2926;3;0;0.2;0.0875;8153.7299
11.10.2000 00:00:00;37;-709;-10096.5576;2;0;0;-0.1081;-10074.8900
25.10.2000 00:00:00;15;223;9229.5796;1;0;0.1;0.0996;9192.0603
25.10.2000 00:00:00;48;-483;-9322.1219;2;0;0;-0.0986;-9101.652
25.10.2000 00:00:00;12;321;9229.5796;1;0;0.1;0.0999;9219.12
25.10.2000 00:00:00;28;-711;-29867.8447;2;0;0;-0.0989;-9129.2401
25.10.2000 00:00:00;37;639;9229.5796;1;0;0.1;0.0999;9220.7702
26.10.2000 00:00:00;32;-211;-83328.8259;2;0;0;-0.0950;-8769.1603
08.11.2000 00:00:00;15;225;-130303.0127;3;0;0.2;0.1003;9400.4997
08.11.2000 00:00:00;37;-639;-29422.6948;2;0;0;-0.0956;-8965.1698
08.11.2000 00:00:00;46;273;9426.2414;3;0;0.2;0.0977;9159.15
08.11.2000 00:00:00;12;-321;-9229.5796;2;0;0;-0.0987;-9251.862
20.11.2000 00:00:00;3;-220;-9278.8318;3;0;0.1;-0.0867;-8118.0003
21.11.2000 00:00:00;3;-253;-27923.0756;2;0;0;-0.0987;-9221.8502
22.11.2000 00:00:00;28;626;9078.6967;1;0;0.1;0.1000;9074.4962
22.11.2000 00:00:00;22;226;9078.6967;1;0;0.1;0.0997;9054.6897
22.11.2000 00:00:00;15;-197;-9669.6666;3;0;0.1;-0.0782;-7097.9098
22.11.2000 00:00:00;13;296;8835.2715;3;0;0.2;0.0759;6887.0321
23.11.2000 00:00:00;15;-251;-28418.0299;2;0;0;-0.1046;-9608.2797
29.11.2000 00:00:00;18;100;9371.8187;1;0;0.1;0.0998;9350.0
29.11.2000 00:00:00;20;152;11977.8900;3;0;0.33;0.1100;10313.1998
29.11.2000 00:00:00;46;-286;-9376.5446;3;0;0.1;-0.1049;-9832.68
07.12.2000 00:00:00;13;-372;-9276.6674;3;0;0.1;-0.0911;-8091.00
11.12.2000 00:00:00;13;-408;-27434.0608;2;0;0;-0.0974;-8622.2638
11.12.2000 00:00:00;28;-626;-68814.3861;2;0;0;-0.0865;-7657.2322
12.12.2000 00:00:00;20;-227;-16502.2486;3;0;0.165;-0.1636;-14301
13.12.2000 00:00:00;44;1721;8648.3646;1;0;0.1;0.1000;8648.025
13.12.2000 00:00:00;37;580;8648.3646;1;0;0.1;0.0999;8641.9998
13.12.2000 00:00:00;13;409;8648.3646;1;0;0.1;0.0999;8643.3968
13.12.2000 00:00:00;5;176;8648.3646;1;0;0.1;0.0999;8640.7202
13.12.2000 00:00:00;19;210;8648.3646;1;0;0.1;0.0998;8630.9997
13.12.2000 00:00:00;20;-89;-38780.8858;3;0;0.1;-0.0636;-5500.1999
13.12.2000 00:00:00;18;-100;-9371.8187;2;0;0;-0.0960;-8300
14.12.2000 00:00:00;20;-139;-86210.1362;2;0;0;-0.0999;-8618
14.12.2000 00:00:00;46;-272;-28124.9079;2;0;0;-0.0962;-8296.0
27.12.2000 00:00:00;37;520;-49682.2680;3;0;0.2;0.0945;8413.6002
03.01.2001 00:00:00;20;129;8863.5040;1;0;0.1;0.0993;8804.25
03.01.2001 00:00:00;15;223;8863.5040;1;0;0.1;0.0997;8837.4902
03.01.2001 00:00:00;22;177;8648.3113;3;0;0.2;0.0877;7771.1848
03.01.2001 00:00:00;13;380;-45789.4782;3;0;0.2;0.0962;8531.0003
03.01.2001 00:00:00;19;-210;-8648.3646;2;0;0;-0.0954;-8458.7997
03.01.2001 00:00:00;5;161;9078.6434;3;0;0.2;0.0953;8447.8311
03.01.2001 00:00:00;44;-1721;-8648.3646;2;0;0;-0.0982;-8708.26
04.01.2001 00:00:00;13;-378;-9243.5903;3;0;0.1;-0.0919;-7793.2262
08.01.2001 00:00:00;13;-411;-26970.5983;2;0;0;-0.0992;-8363.8502
10.01.2001 00:00:00;44;1550;8215.4057;1;0;0.1;0.1000;8213.450
17.01.2001 00:00:00;20;-129;-181283.7764;2;0;0;-0.0927;-7649.6999
17.01.2001 00:00:00;15;-223;-65699.5638;2;0;0;-0.0962;-7938.7997
