TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur;TicketFee
28.04.2005 00:00:00;430770;-3840;-10445;3;0;0.05;-0.0556;-10447.7028;50
05.05.2005 00:00:00;430770;-3450;-9360;2;0;0;-0.0499;-9360.4651;50
11.05.2005 00:00:00;433229;-328;-614;3;0;0.05;-0.0033;-615.2145;50
23.05.2005 00:00:00;433229;-178;-342;3;0;0.05;-0.0018;-342.4830;50
02.06.2005 00:00:00;433229;-4863;-9388;2;0;0;-0.0497;-9388.2976;50
17.08.2005 00:00:00;407901;-2027;-15496;3;0;0.07700;-0.0771;-15498.4081;50
24.08.2005 00:00:00;424505;-17817;-19861;3;0;0.10050;-0.1005;-19861.0868;50
24.08.2005 00:00:00;407901;-644;-4600;3;0;0.05;-0.0233;-4604.1566;50
31.08.2005 00:00:00;424505;-8757;-9782;3;0;0.05;-0.0484;-9782.5056;50
31.08.2005 00:00:00;407901;-1381;-9675;2;0;0;-0.0478;-9675.3047;50
07.09.2005 00:00:00;424505;-411;-457;3;0;0.05;-0.0024;-457.9028;50
14.09.2005 00:00:00;424505;-168;-187;3;0;0.05;-0.0010;-187.4767;50
21.09.2005 00:00:00;424505;-34;-38;3;0;0.05;-0.0002;-38.6095;50
12.10.2005 00:00:00;404066;-153;-8701;2;0;0;-0.0478;-8701.1743;50
12.10.2005 00:00:00;424505;-472;-538;3;0;0.05;-0.0030;-538.8474;50
13.10.2005 00:00:00;404079;-1855;-8569;2;0;0;-0.0484;-8573.5784;50
13.10.2005 00:00:00;404093;-19;-773;3;0;0.05;-0.0045;-795.3599;50
13.10.2005 00:00:00;427936;-2100;-17036;3;0;0.09615;-0.0962;-17039.9377;50
18.10.2005 00:00:00;407294;-1228;-8820;2;0;0;-0.0496;-8820.1338;50
19.10.2005 00:00:00;424505;-7969;-8113;2;0;0;-0.0459;-8113.5988;50
20.10.2005 00:00:00;404093;-211;-8239;2;0;0;-0.0477;-8239.1405;50
20.10.2005 00:00:00;427936;-997;-7823;3;0;0.05;-0.0453;-7823.8783;50
07.11.2005 00:00:00;431630;-563;-8023;2;0;0;-0.0440;-8023.2203;50
19.12.2005 00:00:00;401955;-477;-8626;2;0;0;-0.0462;-8626.1023;50
31.01.2006 00:00:00;405630;-387;-7384;3;0;0.05;-0.0344;-7393.5689;50
08.02.2006 00:00:00;405630;-562;-10617;2;0;0;-0.0499;-10617.0952;50
13.03.2006 00:00:00;404161;-311;-8838;2;0;0;-0.0419;-8838.1827;50
22.03.2006 00:00:00;424726;-186;-4464;2;0;0;-0.0204;-4487.7952;50
11.04.2006 00:00:00;401522;-712;-19217;3;0;0.08955;-0.0896;-19233.7051;50
02.05.2006 00:00:00;401522;-286;-7812;3;0;0.05;-0.0336;-7812.0929;50
11.05.2006 00:00:00;401522;-38;-1014;3;0;0.05;-0.0049;-1037.6668;50
16.05.2006 00:00:00;424146;-24;-186;3;0;0.05;-0.0009;-187.6895;50
17.05.2006 00:00:00;405630;-89;-2476;3;0;0.05;-0.0129;-2476.8188;50
17.05.2006 00:00:00;405231;-831;-23341;3;0;0.12190;-0.1219;-23341.3295;50
17.05.2006 00:00:00;413013;-2084;-37167;3;0;0.19410;-0.1941;-37175.7739;50
18.05.2006 00:00:00;424280;-29;-870;3;0;0.05;-0.0048;-896.7849;50
23.05.2006 00:00:00;424146;-1288;-9002;2;0;0;-0.0488;-9008.5818;50
24.05.2006 00:00:00;405630;-345;-8733;2;0;0;-0.0474;-8758.2388;50
17.08.2006 00:00:00;417422;-584;-7241;2;0;0;-0.0401;-7241.0980;50
06.09.2006 00:00:00;400423;-3928;-8428;2;0;0;-0.0471;-8428.4358;50
06.09.2006 00:00:00;424978;-244;-4084;2;0;0;-0.0228;-4084.4681;50
29.11.2006 00:00:00;424505;-6989;-8997;2;0;0;-0.0460;-8997.8535;50
27.02.2007 00:00:00;424280;-492;-25605;3;0;0.11900;-0.1191;-25632.3065;50
27.02.2007 00:00:00;414217;-823;-19904;3;0;0.09250;-0.0926;-19916.3045;50
05.03.2007 00:00:00;414433;-415;-20632;3;0;0.09645;-0.0966;-20659.5964;50
06.03.2007 00:00:00;424280;-286;-15230;3;0;0.05;-0.0697;-15238.4196;50
14.03.2007 00:00:00;414217;-357;-8583;3;0;0.05;-0.0383;-8603.4211;50
25.04.2007 00:00:00;414433;-175;-8895;3;0;0.05;-0.0365;-8933.1737;50
30.04.2007 00:00:00;424739;-1883;-10981;2;0;0;-0.0443;-10986.5888;50
30.04.2007 00:00:00;424280;-137;-7560;3;0;0.05;-0.0305;-7575.7863;50
02.05.2007 00:00:00;414433;-240;-12064;2;0;0;-0.0483;-12114.3702;50
08.05.2007 00:00:00;424280;-3;-145;3;0;0.05;-0.0007;-165.1283;50
15.05.2007 00:00:00;424280;-221;-11467;2;0;0;-0.0471;-11467.0948;50
30.05.2007 00:00:00;433229;-3658;-11082;2;0;0;-0.0427;-11084.8928;50
23.07.2007 00:00:00;407373;-56;-31231;3;0;0.12550;-0.1266;-31510.1129;50
24.07.2007 00:00:00;400738;-7497;-12088;2;0;0;-0.0497;-12089.2440;50
25.07.2007 00:00:00;417607;-460;-10726;3;0;0.05;-0.0436;-10744.8458;50
30.07.2007 00:00:00;407373;-32;-16361;3;0;0.05;-0.0675;-16733.5661;50
06.08.2007 00:00:00;407373;-23;-12440;2;0;0;-0.0498;-12440.2844;50
09.08.2007 00:00:00;404119;-881;-11576;2;0;0;-0.0469;-11576.3555;50
02.10.2007 00:00:00;408760;-326;-23018;3;0;0.09645;-0.0966;-23054.0182;50
01.11.2007 00:00:00;408760;-145;-10024;3;0;0.05;-0.0402;-10052.3036;50
05.11.2007 00:00:00;421220;-224;-11305;2;0;0;-0.0459;-11355.5916;50
12.11.2007 00:00:00;421268;-5;-264;3;0;0.05;-0.0012;-265.5702;50
06.12.2007 00:00:00;400020;-111;-17431;3;0;0.08530;-0.0857;-17512.47;50
23.01.2008 00:00:00;403865;-281;-8340;2;0;0;-0.0420;-8369.6412;50
10.03.2008 00:00:00;414500;-267;-16534;3;0;0.08350;-0.0838;-16593.5466;50
09.07.2008 00:00:00;424981;-227;-9277;2;0;0;-0.0451;-9277.2542;50
23.07.2008 00:00:00;414500;-229;-17732;3;0;0.05;-0.0878;-17760.7069;50
04.08.2008 00:00:00;414500;-130;-9121;2;0;0;-0.0454;-9121.2724;50
04.09.2008 00:00:00;421190;-197;-9184;2;0;0;-0.0463;-9184.3527;50
17.09.2008 00:00:00;425029;-543;-8664;2;0;0;-0.0449;-8679.8309;50
18.09.2008 00:00:00;428382;-2533;-8665;2;0;0;-0.0441;-8668.2741;50
29.09.2008 00:00:00;414240;-292;-7275;3;0;0.05;-0.0396;-7280.8577;50
21.10.2008 00:00:00;400020;-59;-13918;3;0;0.05;-0.0830;-14042;50
25.11.2008 00:00:00;403723;-303;-7173;2;0;0;-0.0429;-7196.6606;50
21.01.2009 00:00:00;430540;-665;-7003;2;0;0;-0.0421;-7003.4584;50
13.05.2009 00:00:00;424761;-137;-7240;2;0;0;-0.0419;-7292.9898;50
20.05.2009 00:00:00;401243;-1647;-8004;2;0;0;-0.0432;-8004.1325;50
07.07.2009 00:00:00;430770;-2488;-3460;2;0;0;-0.0213;-3461.3372;50
13.07.2009 00:00:00;433011;-15808;-7530;2;0;0;-0.0464;-7530.1594;50
12.10.2009 00:00:00;412479;-571;-14810;3;0;0.07505;-0.0751;-14822.3043;50
19.10.2009 00:00:00;412479;-190;-4990;3;0;0.05;-0.0249;-5013.0044;50
26.11.2009 00:00:00;432265;-2918;-8894;2;0;0;-0.0456;-8896.9861;50
01.02.2010 00:00:00;425498;-448;-10207;2;0;0;-0.0466;-10207.4319;50
06.05.2010 00:00:00;432624;-54257;-41558;3;0;0.17785;-0.1778;-41558.6721;50
20.05.2010 00:00:00;432624;-27128;-20657;3;0;0.09120;-0.0912;-20657.7040;50
29.06.2010 00:00:00;401758;-338;-10684;2;0;0;-0.0469;-10715.2484;50
05.07.2010 00:00:00;401955;-773;-23423;3;0;0.10675;-0.1068;-23440.1100;50
21.07.2010 00:00:00;424883;-249;-10362;2;0;0;-0.0455;-10403.3315;50
27.07.2010 00:00:00;414017;-226;-9630;2;0;0;-0.0418;-9672.5850;50
25.08.2010 00:00:00;421962;-625;-9598;2;0;0;-0.0417;-9598.2320;50
11.10.2010 00:00:00;412341;-188;-12300;2;0;0;-0.0479;-12300.4018;50
01.11.2010 00:00:00;414227;-74;-7677;3;0;0.05;-0.0289;-7699.6984;50
08.11.2010 00:00:00;414227;-6;-635;3;0;0.05;-0.0025;-665.4451;50
15.11.2010 00:00:00;414227;-123;-13368;2;0;0;-0.0500;-13477.1026;50
19.01.2011 00:00:00;431742;-894;-32024;3;0;0.10205;-0.1022;-32052.6998;50
19.01.2011 00:00:00;401364;-1038;-31702;3;0;0.10110;-0.1011;-31706.8806;50
26.01.2011 00:00:00;431742;-440;-15538;3;0;0.05;-0.0486;-15545.7360;50
26.01.2011 00:00:00;401364;-519;-15937;3;0;0.05;-0.0499;-15957.1816;50
02.02.2011 00:00:00;401364;-519;-15712;2;0;0;-0.0488;-15712.1808;50
23.02.2011 00:00:00;432624;-25516;-39753;3;0;0.11825;-0.1183;-39753.1358;50
24.02.2011 00:00:00;424978;-866;-16659;2;0;0;-0.0494;-16678.0295;50
24.02.2011 00:00:00;431742;-453;-15814;2;0;0;-0.0470;-15848.6037;50
09.03.2011 00:00:00;428863;-663;-15237;2;0;0;-0.0433;-15237.3851;50
11.04.2011 00:00:00;428060;-213;-15211;2;0;0;-0.0425;-15211.3343;50
06.06.2011 00:00:00;431311;-599;-15693;2;0;0;-0.0419;-15693.1762;50
27.06.2011 00:00:00;432356;-15961;-26279;3;0;0.07530;-0.0753;-26279.9795;50
05.07.2011 00:00:00;432356;-5611;-9659;3;0;0.05;-0.0271;-9659.4430;50
02.08.2011 00:00:00;432624;-18274;-31527;3;0;0.09240;-0.0924;-31527.8709;50
08.08.2011 00:00:00;401752;-40;-817;3;0;0.05;-0.0026;-833.7434;50
08.08.2011 00:00:00;428755;-317;-10860;3;0;0.05;-0.0334;-10866.0246;50
17.08.2011 00:00:00;428755;-23;-834;3;0;0.05;-0.0025;-835.1938;50
24.08.2011 00:00:00;428755;-452;-15918;2;0;0;-0.0490;-15952.9412;50
31.01.2012 00:00:00;414675;-242;-15211;2;0;0;-0.0468;-15273.7705;50
10.04.2012 00:00:00;402161;-1413;-15130;3;0;0.05;-0.0455;-15138.5161;50
19.04.2012 00:00:00;401856;-1;-27;3;0;0.05;-0.0001;-36.2983;50
09.05.2012 00:00:00;431549;-153;-1450;3;0;0.05;-0.0043;-1456.5649;50
14.05.2012 00:00:00;421219;-100;-14822;3;0;0.05;-0.0430;-14868.2267;50
30.05.2012 00:00:00;428190;-576;-11244;3;0;0.05;-0.0326;-11262.5181;50
04.06.2012 00:00:00;402161;-1321;-15371;3;0;0.05;-0.0477;-15379.9791;50
13.06.2012 00:00:00;402161;-55;-656;3;0;0.05;-0.0021;-661.2813;50
21.06.2012 00:00:00;431614;-941;-15262;2;0;0;-0.0473;-15262.4704;50
26.06.2012 00:00:00;432624;-12472;-30753;3;0;0.09560;-0.0956;-30754.3876;50
06.08.2012 00:00:00;400078;-920;-13586;2;0;0;-0.0393;-13600.4524;50
22.10.2012 00:00:00;411401;-46;-1825;3;0;0.05;-0.0050;-1843.8031;50
14.11.2012 00:00:00;402161;-948;-13686;3;0;0.05;-0.0381;-13699.2928;50
26.11.2012 00:00:00;431668;-223;-17540;2;0;0;-0.0476;-17540.4699;50
19.12.2012 00:00:00;403770;-828;-38406;3;0;0.10155;-0.1017;-38449.5264;50
26.12.2012 00:00:00;403770;-423;-19513;3;0;0.05;-0.0524;-19557.0108;50
21.01.2013 00:00:00;417733;-7276;-16946;2;0;0;-0.0439;-16947.9847;50
14.03.2013 00:00:00;430770;-49;-814;3;0;0.05;-0.0019;-818.6377;50
18.03.2013 00:00:00;433004;-3049;-20729;2;0;0;-0.0486;-20729.0542;50
09.04.2013 00:00:00;432624;-8567;-35232;3;0;0.08160;-0.0816;-35233.4686;50
10.04.2013 00:00:00;430770;-609;-10071;2;0;0;-0.0231;-10087.5154;50
16.04.2013 00:00:00;432624;-2822;-10941;3;0;0.05;-0.0246;-10941.5077;50
05.06.2013 00:00:00;403770;-793;-45541;3;0;0.08975;-0.0898;-45576.1078;50
11.06.2013 00:00:00;431285;-2024;-49526;3;0;0.09950;-0.0995;-49531.3443;50
12.06.2013 00:00:00;403770;-361;-20730;3;0;0.05;-0.0418;-20773.0662;50
18.06.2013 00:00:00;431285;-1027;-25600;3;0;0.05;-0.0515;-25607.8826;50
19.06.2013 00:00:00;403770;-431;-24411;2;0;0;-0.0500;-24411.3307;50
24.06.2013 00:00:00;405326;-2268;-50170;3;0;0.10955;-0.1096;-50170.2641;50
24.06.2013 00:00:00;428361;-50095;-21552;2;0;0;-0.0471;-21552.4110;50
24.06.2013 00:00:00;431630;-462;-17638;3;0;0.05;-0.0385;-17646.7910;50
25.06.2013 00:00:00;431285;-24;-555;3;0;0.05;-0.0012;-575.2819;50
02.07.2013 00:00:00;405326;-1249;-29632;3;0;0.05;-0.0613;-29634.0532;50
23.07.2013 00:00:00;405326;-1018;-24171;2;0;0;-0.0483;-24171.4776;50
27.08.2013 00:00:00;431211;-679;-23622;2;0;0;-0.0440;-23656.5677;50
11.03.2014 00:00:00;407373;-23;-47849;3;0;0.05;-0.0704;-48541.6173;50
12.03.2014 00:00:00;432356;-15412;-54688;3;0;0.08220;-0.0822;-54688.6828;50
19.03.2014 00:00:00;432356;-5827;-19711;3;0;0.05;-0.0304;-19712.4496;50
26.03.2014 00:00:00;432356;-832;-3058;3;0;0.05;-0.0048;-3059.0723;50
07.04.2014 00:00:00;406173;-1414;-29830;2;0;0;-0.0437;-29830.0249;50
07.04.2014 00:00:00;432356;-8747;-31911;2;0;0;-0.0467;-31911.2753;50
14.04.2014 00:00:00;431285;-1539;-69500;3;0;0.10990;-0.1099;-69504.8216;50
06.05.2014 00:00:00;424981;-402;-30973;2;0;0;-0.0469;-31050.1398;50
14.05.2014 00:00:00;400738;-175265;-26425;2;0;0;-0.0389;-26425.1086;50
15.05.2014 00:00:00;427578;-6030;-28505;2;0;0;-0.0428;-28505.2752;50
10.07.2014 00:00:00;406166;-2967;-98888;3;0;0.13870;-0.1387;-98896.0203;50
21.07.2014 00:00:00;406166;-1898;-64174;3;0;0.05;-0.0887;-64194.0268;50
04.08.2014 00:00:00;430130;-427;-9205;3;0;0.05;-0.0135;-9206.4527;50
05.08.2014 00:00:00;432110;-1108;-65306;3;0;0.09695;-0.0970;-65352.2941;50
06.08.2014 00:00:00;431285;-1265;-63673;3;0;0.09550;-0.0955;-63710.6509;50
12.08.2014 00:00:00;433004;-2560;-33375;2;0;0;-0.0497;-33387.9284;50
13.08.2014 00:00:00;432110;-518;-29902;3;0;0.05;-0.0439;-29924.5808;50
09.09.2014 00:00:00;401819;-2648;-80981;3;0;0.11460;-0.1146;-81008.0298;50
16.09.2014 00:00:00;401819;-1478;-44694;3;0;0.05;-0.0632;-44720.0865;50
23.09.2014 00:00:00;401819;-1169;-34593;2;0;0;-0.0492;-34593.0422;50
06.10.2014 00:00:00;431311;-409;-33085;2;0;0;-0.0462;-33165.9451;50
09.10.2014 00:00:00;414449;-1322;-32428;3;0;0.05;-0.0474;-32441.4636;50
09.10.2014 00:00:00;428863;-725;-29659;3;0;0.05;-0.0433;-29669.1609;50
09.10.2014 00:00:00;414461;-368;-16775;2;0;0;-0.0245;-16775.2409;50
13.10.2014 00:00:00;401758;-7;-548;3;0;0.05;-0.0009;-563.9088;50
13.10.2014 00:00:00;431072;-178;-31530;2;0;0;-0.0478;-31530.1049;50
13.10.2014 00:00:00;404190;-1407;-29995;2;0;0;-0.0455;-29995.4334;50
13.10.2014 00:00:00;432110;-590;-27506;2;0;0;-0.0418;-27552.5672;50
15.10.2014 00:00:00;404267;-421;-31962;2;0;0;-0.0489;-31962.2296;50
16.10.2014 00:00:00;414449;-54;-1290;3;0;0.05;-0.0020;-1310.5028;50
16.12.2014 00:00:00;421225;-1256;-34706;2;0;0;-0.0473;-34733.6045;50
08.01.2015 00:00:00;431285;-1233;-78296;3;0;0.09680;-0.0968;-78307.5486;50
15.01.2015 00:00:00;431285;-597;-37023;3;0;0.05;-0.0469;-37058.5506;50
26.03.2015 00:00:00;405326;-1388;-86620;3;0;0.09085;-0.0909;-86674.4712;50
06.04.2015 00:00:00;414449;-2298;-85568;3;0;0.08985;-0.0899;-85583.9935;50
27.04.2015 00:00:00;414431;-1448;-93812;3;0;0.09975;-0.0998;-93859.2429;50
27.04.2015 00:00:00;414449;-1088;-42245;3;0;0.05;-0.0450;-42274.4579;50
29.04.2015 00:00:00;414216;-503;-43490;2;0;0;-0.0484;-43576.1877;50
04.05.2015 00:00:00;414431;-717;-44911;3;0;0.05;-0.0491;-44967.4550;50
05.05.2015 00:00:00;424883;-638;-70534;3;0;0.05;-0.0782;-70637.9548;50
11.05.2015 00:00:00;414431;-13;-837;3;0;0.05;-0.0009;-837.7467;50
18.05.2015 00:00:00;414431;-716;-46047;2;0;0;-0.0490;-46047.0216;50
02.06.2015 00:00:00;432356;-7515;-41682;2;0;0;-0.0424;-41687.1601;50
08.06.2015 00:00:00;429478;-3086;-37254;2;0;0;-0.0391;-37265.6766;50
10.06.2015 00:00:00;431668;-920;-38782;2;0;0;-0.0408;-38782.1398;50
17.06.2015 00:00:00;433011;-4797;-21024;2;0;0;-0.0225;-21024.0094;50
17.06.2015 00:00:00;421169;-578;-45008;2;0;0;-0.0483;-45008.1545;50
22.06.2015 00:00:00;404256;-255;-42494;2;0;0;-0.0446;-42494.0340;50
06.07.2015 00:00:00;432210;-7561;-45431;2;0;0;-0.0493;-45436.6149;50
07.07.2015 00:00:00;412479;-365;-43315;2;0;0;-0.0470;-43315.3804;50
08.07.2015 00:00:00;428863;-1388;-119919;3;0;0.13400;-0.1340;-119932.0318;50
27.07.2015 00:00:00;428863;-836;-70317;3;0;0.05;-0.0756;-70386.9236;50
30.07.2015 00:00:00;414319;-73;-1005;3;0;0.05;-0.0011;-1017.3640;50
03.08.2015 00:00:00;430564;-1410;-41969;2;0;0;-0.0435;-41969.0290;50
11.08.2015 00:00:00;414319;-10;-135;3;0;0.05;-0.0001;-138.2754;50
18.08.2015 00:00:00;414319;-3412;-46721;2;0;0;-0.0485;-46734.3098;50
24.08.2015 00:00:00;410310;-43;-17215;2;0;0;-0.0208;-17215.2324;50
24.08.2015 00:00:00;429433;-1108;-39173;2;0;0;-0.0473;-39173.4578;50
24.08.2015 00:00:00;404146;-718;-39462;2;0;0;-0.0477;-39516.6753;50
24.08.2015 00:00:00;425608;-1110;-39755;2;0;0;-0.0480;-39790.8243;50
28.09.2015 00:00:00;432558;-10377;-45463;3;0;0.05;-0.0530;-45465.4187;50
08.10.2015 00:00:00;431645;-485;-35416;2;0;0;-0.0432;-35488.9589;50
13.10.2015 00:00:00;430770;-1729;-72041;3;0;0.08885;-0.0889;-72043.7777;50
11.01.2016 00:00:00;405326;-17;-1861;3;0;0.05;-0.0022;-1924.2317;50
18.01.2016 00:00:00;405326;-6;-605;3;0;0.05;-0.0008;-644.4048;50
