PortfolioAsof;PortfolioValue;AllocationToRisk
11.12.2000 00:00:00;152087.2535;0.2074
12.12.2000 00:00:00;151504.7669;0.2043
13.12.2000 00:00:00;151947.8986;0.2067
14.12.2000 00:00:00;151634.6532;0.2050
18.12.2000 00:00:00;152366.7019;0.2088
19.12.2000 00:00:00;151676.6528;0.2052
20.12.2000 00:00:00;150790.4264;0.2006
21.12.2000 00:00:00;150740.4264;0
25.12.2000 00:00:00;150740.4264;0
26.12.2000 00:00:00;150740.4264;0
27.12.2000 00:00:00;150740.4264;0
28.12.2000 00:00:00;150740.4264;0
29.12.2000 00:00:00;150740.4264;0
02.01.2001 00:00:00;150740.4264;0
03.01.2001 00:00:00;150740.4264;0
04.01.2001 00:00:00;150740.4264;0
08.01.2001 00:00:00;150740.4264;0
09.01.2001 00:00:00;150740.4264;0
10.01.2001 00:00:00;150740.4264;0
11.01.2001 00:00:00;150740.4264;0
15.01.2001 00:00:00;150740.4264;0
16.01.2001 00:00:00;150740.4264;0
17.01.2001 00:00:00;150740.4264;0
18.01.2001 00:00:00;150740.4264;0
22.01.2001 00:00:00;150740.4264;0
23.01.2001 00:00:00;150740.4264;0
24.01.2001 00:00:00;150740.4264;0
25.01.2001 00:00:00;150740.4264;0
29.01.2001 00:00:00;150740.4264;0
30.01.2001 00:00:00;150740.4264;0
31.01.2001 00:00:00;150740.4264;0
01.02.2001 00:00:00;150740.4264;0
05.02.2001 00:00:00;150740.4264;0
06.02.2001 00:00:00;150740.4264;0
07.02.2001 00:00:00;150740.4264;0
08.02.2001 00:00:00;150740.4264;0
12.02.2001 00:00:00;150740.4264;0
13.02.2001 00:00:00;150740.4264;0
14.02.2001 00:00:00;150740.4264;0
15.02.2001 00:00:00;150740.4264;0
19.02.2001 00:00:00;150740.4264;0
20.02.2001 00:00:00;150740.4264;0
21.02.2001 00:00:00;150740.4264;0
22.02.2001 00:00:00;150740.4264;0
26.02.2001 00:00:00;150740.4264;0
27.02.2001 00:00:00;150740.4264;0
28.02.2001 00:00:00;150740.4264;0
01.03.2001 00:00:00;150740.4264;0
05.03.2001 00:00:00;150740.4264;0
06.03.2001 00:00:00;150740.4264;0
07.03.2001 00:00:00;150740.4264;0
08.03.2001 00:00:00;150740.4264;0
12.03.2001 00:00:00;150740.4264;0
13.03.2001 00:00:00;150740.4264;0
14.03.2001 00:00:00;150740.4264;0
15.03.2001 00:00:00;150740.4264;0
19.03.2001 00:00:00;150740.4264;0
20.03.2001 00:00:00;150740.4264;0
21.03.2001 00:00:00;150740.4264;0
22.03.2001 00:00:00;150740.4264;0
26.03.2001 00:00:00;150740.4264;0
27.03.2001 00:00:00;150740.4264;0
28.03.2001 00:00:00;150740.4264;0
29.03.2001 00:00:00;150740.4264;0
02.04.2001 00:00:00;150740.4264;0
03.04.2001 00:00:00;150740.4264;0
04.04.2001 00:00:00;150740.4264;0
05.04.2001 00:00:00;150740.4264;0
09.04.2001 00:00:00;150740.4264;0
10.04.2001 00:00:00;150740.4264;0
11.04.2001 00:00:00;150740.4264;0
12.04.2001 00:00:00;150740.4264;0
16.04.2001 00:00:00;150740.4264;0
17.04.2001 00:00:00;150740.4264;0
18.04.2001 00:00:00;150740.4264;0
19.04.2001 00:00:00;150740.4264;0
23.04.2001 00:00:00;150740.4264;0
24.04.2001 00:00:00;150740.4264;0
25.04.2001 00:00:00;150740.4264;0
26.04.2001 00:00:00;150740.4264;0
30.04.2001 00:00:00;150740.4264;0
01.05.2001 00:00:00;150740.4264;0
02.05.2001 00:00:00;150740.4264;0
03.05.2001 00:00:00;150740.4264;0
07.05.2001 00:00:00;150740.4264;0
08.05.2001 00:00:00;150740.4264;0
09.05.2001 00:00:00;150740.4264;0
10.05.2001 00:00:00;150740.4264;0
14.05.2001 00:00:00;150740.4264;0
15.05.2001 00:00:00;150740.4264;0
16.05.2001 00:00:00;150740.4264;0
17.05.2001 00:00:00;150740.4264;0
21.05.2001 00:00:00;150740.4264;0
22.05.2001 00:00:00;150740.4264;0
23.05.2001 00:00:00;150740.4264;0
24.05.2001 00:00:00;151586.9274;0.8053
28.05.2001 00:00:00;151434.7311;0.8051
29.05.2001 00:00:00;152330.1164;0.8063
30.05.2001 00:00:00;150613.9494;0.8041
31.05.2001 00:00:00;153309.7993;0.9768
04.06.2001 00:00:00;155500.2306;0.9771
05.06.2001 00:00:00;156670.2921;0.9773
06.06.2001 00:00:00;156438.5892;0.9772
07.06.2001 00:00:00;155313.5097;0.9736
11.06.2001 00:00:00;155859.8585;0.9292
12.06.2001 00:00:00;156407.7025;0.9295
13.06.2001 00:00:00;155422.7653;0.9290
14.06.2001 00:00:00;149237.7571;0.9739
18.06.2001 00:00:00;148499.9348;0.9293
19.06.2001 00:00:00;147509.6058;0.9288
20.06.2001 00:00:00;147608.3379;0.9288
21.06.2001 00:00:00;145261.2375;0.9567
25.06.2001 00:00:00;142467.1898;0.9558
26.06.2001 00:00:00;143113.6813;0.9060
27.06.2001 00:00:00;143310.1867;0.8589
28.06.2001 00:00:00;146184.8968;0.9637
02.07.2001 00:00:00;148369.4425;0.9207
03.07.2001 00:00:00;147889.0756;0.9205
04.07.2001 00:00:00;147593.4114;0.9203
05.07.2001 00:00:00;146793.8540;0.9641
09.07.2001 00:00:00;144484.0533;0.9635
10.07.2001 00:00:00;142020.0724;0.9629
11.07.2001 00:00:00;141330.0329;0.9177
12.07.2001 00:00:00;143510.4708;0.9614
16.07.2001 00:00:00;143063.3226;0.9613
17.07.2001 00:00:00;147278.0535;0.9624
18.07.2001 00:00:00;144780.5107;0.9617
19.07.2001 00:00:00;146153.4820;0.9997
23.07.2001 00:00:00;143576.9161;0.9997
24.07.2001 00:00:00;140277.9998;0.9997
25.07.2001 00:00:00;141494.9691;0.9997
26.07.2001 00:00:00;142427.5036;0.9951
30.07.2001 00:00:00;141854.4014;0.9951
31.07.2001 00:00:00;142745.3292;0.9523
01.08.2001 00:00:00;142500.2089;0.9044
02.08.2001 00:00:00;141720.9910;0.9925
06.08.2001 00:00:00;145055.7546;0.9927
07.08.2001 00:00:00;145305.0641;0.9927
08.08.2001 00:00:00;142977.0238;0.9926
09.08.2001 00:00:00;139091.9806;0.9924
13.08.2001 00:00:00;139508.2039;0.9444
14.08.2001 00:00:00;139585.9436;0.9444
15.08.2001 00:00:00;137472.2508;0.9436
16.08.2001 00:00:00;138092.5332;0.9963
20.08.2001 00:00:00;136828.3175;0.9962
21.08.2001 00:00:00;136273.7850;0.9962
22.08.2001 00:00:00;136752.8987;0.9433
23.08.2001 00:00:00;135451.0367;0.9764
