Asof;Cash
05.07.2000 00:00:00;18219.7441
05.07.2000 00:00:00;11960.0559
05.07.2000 00:00:00;5681.7095
05.07.2000 00:00:00;-614.7827
05.07.2000 00:00:00;-6651.9365
05.07.2000 00:00:00;-614.7827
05.07.2000 00:00:00;3237.8746
18.07.2000 00:00:00;5148.5529
19.07.2000 00:00:00;11129.9207
19.07.2000 00:00:00;4511.9656
19.07.2000 00:00:00;11051.4027
19.07.2000 00:00:00;17590.6227
19.07.2000 00:00:00;10996.9092
19.07.2000 00:00:00;4450.5436
19.07.2000 00:00:00;-2136.7589
19.07.2000 00:00:00;-8751.8424
19.07.2000 00:00:00;-15361.9593
19.07.2000 00:00:00;-5959.0454
19.07.2000 00:00:00;1145.2401
25.07.2000 00:00:00;7369.7608
26.07.2000 00:00:00;1111.3211
26.07.2000 00:00:00;-5092.2200
26.07.2000 00:00:00;-11350.6597
26.07.2000 00:00:00;-17592.9958
26.07.2000 00:00:00;-23872.7623
26.07.2000 00:00:00;-30156.0276
26.07.2000 00:00:00;-36432.7668
26.07.2000 00:00:00;-42704.1039
26.07.2000 00:00:00;-48926.2134
26.07.2000 00:00:00;-44237.5408
26.07.2000 00:00:00;-38385.9496
26.07.2000 00:00:00;-26714.7082
26.07.2000 00:00:00;-19859.1049
26.07.2000 00:00:00;-12530.4169
26.07.2000 00:00:00;-6324.0810
26.07.2000 00:00:00;-688.5609
26.07.2000 00:00:00;5533.5486
27.07.2000 00:00:00;11533.9164
03.08.2000 00:00:00;16856.1204
09.08.2000 00:00:00;10282.2456
09.08.2000 00:00:00;4173.8736
09.08.2000 00:00:00;-2344.9670
09.08.2000 00:00:00;-11167.0620
09.08.2000 00:00:00;-10822.5219
09.08.2000 00:00:00;-10511.1701
09.08.2000 00:00:00;-17094.7309
09.08.2000 00:00:00;-22617.1350
09.08.2000 00:00:00;-29167.1662
09.08.2000 00:00:00;-23457.5906
09.08.2000 00:00:00;-17277.2029
09.08.2000 00:00:00;-10970.3199
09.08.2000 00:00:00;-3833.9049
09.08.2000 00:00:00;3259.2804
23.08.2000 00:00:00;-2778.7393
23.08.2000 00:00:00;3843.7667
23.08.2000 00:00:00;-2544.5802
23.08.2000 00:00:00;4221.7479
23.08.2000 00:00:00;-1592.4556
23.08.2000 00:00:00;-8613.2148
23.08.2000 00:00:00;-2026.9430
23.08.2000 00:00:00;-9022.9405
23.08.2000 00:00:00;-16040.2900
23.08.2000 00:00:00;-9750.2641
23.08.2000 00:00:00;-3448.2919
23.08.2000 00:00:00;1151.3752
06.09.2000 00:00:00;9652.7774
06.09.2000 00:00:00;2155.5379
06.09.2000 00:00:00;-5329.1108
06.09.2000 00:00:00;-12819.8371
06.09.2000 00:00:00;-20274.5813
06.09.2000 00:00:00;-13971.8030
06.09.2000 00:00:00;-6907.1504
06.09.2000 00:00:00;857.1540
20.09.2000 00:00:00;7208.2628
20.09.2000 00:00:00;-287.1760
20.09.2000 00:00:00;-13871.2962
20.09.2000 00:00:00;-20515.1726
20.09.2000 00:00:00;-27541.8123
20.09.2000 00:00:00;-20196.4893
20.09.2000 00:00:00;-26547.5981
20.09.2000 00:00:00;-20196.4893
20.09.2000 00:00:00;-11925.5135
20.09.2000 00:00:00;-4625.2619
20.09.2000 00:00:00;3444.1403
27.09.2000 00:00:00;9005.4340
27.09.2000 00:00:00;1547.8121
27.09.2000 00:00:00;-5928.9067
27.09.2000 00:00:00;-13393.4259
27.09.2000 00:00:00;-20849.0619
27.09.2000 00:00:00;-26410.3556
27.09.2000 00:00:00;-13314.2133
27.09.2000 00:00:00;285.6555
28.09.2000 00:00:00;6799.7635
02.10.2000 00:00:00;14237.8167
03.10.2000 00:00:00;27554.0915
05.10.2000 00:00:00;32999.4083
05.10.2000 00:00:00;39577.0892
09.10.2000 00:00:00;39829.2239
10.10.2000 00:00:00;46905.1467
10.10.2000 00:00:00;53906.4573
11.10.2000 00:00:00;60431.8988
11.10.2000 00:00:00;53394.9417
11.10.2000 00:00:00;46356.3111
11.10.2000 00:00:00;39355.6389
11.10.2000 00:00:00;32300.8965
11.10.2000 00:00:00;25268.4030
11.10.2000 00:00:00;18221.1129
11.10.2000 00:00:00;11193.1801
11.10.2000 00:00:00;4144.8480
11.10.2000 00:00:00;-2897.3691
11.10.2000 00:00:00;-9402.7243
11.10.2000 00:00:00;-16452.4769
11.10.2000 00:00:00;-23496.0574
11.10.2000 00:00:00;-30544.5335
11.10.2000 00:00:00;-37589.4600
11.10.2000 00:00:00;-7794.8466
11.10.2000 00:00:00;-14320.2881
11.10.2000 00:00:00;-7794.8466
11.10.2000 00:00:00;-570.1298
11.10.2000 00:00:00;6474.7967
25.10.2000 00:00:00;13262.6963
25.10.2000 00:00:00;19637.1023
25.10.2000 00:00:00;26062.4838
25.10.2000 00:00:00;32109.9449
25.10.2000 00:00:00;28624.6774
25.10.2000 00:00:00;21753.8366
25.10.2000 00:00:00;16126.5434
25.10.2000 00:00:00;8572.9581
25.10.2000 00:00:00;1059.0912
25.10.2000 00:00:00;-6069.0776
25.10.2000 00:00:00;-13622.5455
25.10.2000 00:00:00;-21174.9452
25.10.2000 00:00:00;-28724.3899
25.10.2000 00:00:00;-21240.5599
25.10.2000 00:00:00;-27288.0210
25.10.2000 00:00:00;-21240.5599
25.10.2000 00:00:00;-14215.0310
25.10.2000 00:00:00;-7141.5564
25.10.2000 00:00:00;-13566.9379
25.10.2000 00:00:00;-7141.5564
25.10.2000 00:00:00;-13515.9624
25.10.2000 00:00:00;-7141.5564
25.10.2000 00:00:00;166.8340
25.10.2000 00:00:00;7716.2787
25.10.2000 00:00:00;4519.3200
08.11.2000 00:00:00;-10525.7464
08.11.2000 00:00:00;-18155.6331
08.11.2000 00:00:00;-25779.2491
08.11.2000 00:00:00;-30026.6923
08.11.2000 00:00:00;-22228.0560
08.11.2000 00:00:00;-13652.2160
08.11.2000 00:00:00;-5189.2160
08.11.2000 00:00:00;3120.9383
13.11.2000 00:00:00;6837.5665
14.11.2000 00:00:00;14272.6539
22.11.2000 00:00:00;8992.8780
22.11.2000 00:00:00;21037.1921
22.11.2000 00:00:00;30045.0285
29.11.2000 00:00:00;36444.4727
29.11.2000 00:00:00;61140.1164
30.11.2000 00:00:00;64268.7752
06.12.2000 00:00:00;71700.7965
06.12.2000 00:00:00;79144.0575
06.12.2000 00:00:00;83234.6797
06.12.2000 00:00:00;99178.7197
06.12.2000 00:00:00;107254.8484
06.12.2000 00:00:00;115230.2128
12.12.2000 00:00:00;122705.9888
13.12.2000 00:00:00;110142.4053
13.12.2000 00:00:00;116923.8791
17.01.2001 00:00:00;109699.6310
17.01.2001 00:00:00;120207.7609
24.01.2001 00:00:00;112933.6536
24.01.2001 00:00:00;105694.8769
24.01.2001 00:00:00;120909.5431
31.01.2001 00:00:00;113613.0091
31.01.2001 00:00:00;106309.7623
31.01.2001 00:00:00;110140.1418
31.01.2001 00:00:00;117229.0845
07.02.2001 00:00:00;109924.8150
07.02.2001 00:00:00;116917.5336
14.02.2001 00:00:00;110501.5754
14.02.2001 00:00:00;103239.9464
14.02.2001 00:00:00;109257.3274
14.02.2001 00:00:00;116518.9564
14.02.2001 00:00:00;123965.6644
21.02.2001 00:00:00;116582.4843
28.02.2001 00:00:00;111128.4221
28.02.2001 00:00:00;118598.9470
14.03.2001 00:00:00;123465.4702
14.03.2001 00:00:00;116065.8221
14.03.2001 00:00:00;108670.9887
14.03.2001 00:00:00;103804.4655
14.03.2001 00:00:00;116124.9471
14.03.2001 00:00:00;123519.7805
21.03.2001 00:00:00;116138.8384
28.03.2001 00:00:00;109148.9732
28.03.2001 00:00:00;116124.6531
04.04.2001 00:00:00;123667.6584
11.04.2001 00:00:00;114815.7000
11.04.2001 00:00:00;122531.9340
25.04.2001 00:00:00;131608.9361
02.05.2001 00:00:00;123763.6043
09.05.2001 00:00:00;132286.0548
16.05.2001 00:00:00;124293.9371
16.05.2001 00:00:00;132286.0548
23.05.2001 00:00:00;124084.6675
23.05.2001 00:00:00;115886.2448
23.05.2001 00:00:00;107692.7707
23.05.2001 00:00:00;99508.0667
23.05.2001 00:00:00;91326.4785
23.05.2001 00:00:00;83133.3631
23.05.2001 00:00:00;74934.9985
23.05.2001 00:00:00;66748.7831
30.05.2001 00:00:00;58396.7251
30.05.2001 00:00:00;50052.1062
30.05.2001 00:00:00;41712.0259
30.05.2001 00:00:00;33362.1698
30.05.2001 00:00:00;25009.5929
30.05.2001 00:00:00;16659.3072
30.05.2001 00:00:00;8318.3262
30.05.2001 00:00:00;-28.4848
30.05.2001 00:00:00;-8372.8864
30.05.2001 00:00:00;-638.8084
30.05.2001 00:00:00;7705.5932
30.05.2001 00:00:00;4251.7846
07.06.2001 00:00:00;4328.4663
13.06.2001 00:00:00;12138.7233
