TicketFee;TransactionDateTime;SecurityId;Shares;TargetAmountEur;TransactionType;Cancelled;TargetWeight;EffectiveWeight;EffectiveAmountEur
50;13.05.2009 00:00:00;403773;-915;-3328;2;0;0;-0.0471;-3331.4248
50;13.05.2009 00:00:00;405540;-2037;-3361;2;0;0;-0.0475;-3361.05
50;13.05.2009 00:00:00;428190;-677;-3464;2;0;0;-0.0490;-3468.7367
50;13.05.2009 00:00:00;414829;-299;-3511;2;0;0;-0.0498;-3522.6822
50;13.05.2009 00:00:00;400839;312;3538.9898;1;0;0.05;0.0499;3529.4212
50;13.05.2009 00:00:00;405630;238;3538.9898;1;0;0.05;0.0498;3528.0838
50;13.05.2009 00:00:00;427577;1805;3538.9898;1;0;0.05;0.0500;3537.0998
50;13.05.2009 00:00:00;417427;732;3538.9898;1;0;0.05;0.0500;3538.8876
50;13.05.2009 00:00:00;400867;686;3538.9898;1;0;0.05;0.0499;3534.9923
50;15.05.2009 00:00:00;411936;-13020;-3411;2;0;0;-0.0469;-3411.1994
50;20.05.2009 00:00:00;400019;72;3377;3;0;0.10;0.0437;3337.20
50;27.05.2009 00:00:00;424497;-549;-3252;2;0;0;-0.0437;-3252.0158
50;27.05.2009 00:00:00;427577;953;2571;3;0;0.10;0.0345;2569.0387
50;27.05.2009 00:00:00;433272;168;3718.3664;1;0;0.05;0.0498;3702.2509
50;27.05.2009 00:00:00;424280;614;3718.3664;1;0;0.05;0.0500;3716.0489
50;27.05.2009 00:00:00;423023;-609;-3696;2;0;0;-0.0498;-3701.6329
50;27.05.2009 00:00:00;400867;-686;-3339;2;0;0;-0.0449;-3339.3816
50;03.06.2009 00:00:00;433271;11;3643.6584;1;0;0.05;0.0499;3639.0512
50;03.06.2009 00:00:00;429201;2769;3643.6584;1;0;0.05;0.0500;3642.8964
50;03.06.2009 00:00:00;400384;916;3643.6584;1;0;0.05;0.0500;3641.7817
50;03.06.2009 00:00:00;432816;-3168;-13527;2;0;0;-0.1857;-13530.9523
50;10.06.2009 00:00:00;405630;171;3214;3;0;0.10;0.0417;3198.2305
50;10.06.2009 00:00:00;400384;-916;-3643;2;0;0;-0.0475;-3643.1119
50;17.06.2009 00:00:00;433011;6464;3528.6784;1;0;0.05;0.0500;3528.6714
50;17.06.2009 00:00:00;430130;1032;1531.4464;1;0;0.0217;0.0217;1531.3196
50;17.06.2009 00:00:00;433272;-169;-3802;2;0;0;-0.0542;-3824.3088
50;19.06.2009 00:00:00;403711;-23;-222;3;0;0.05;-0.0032;-226.9201
50;19.06.2009 00:00:00;429201;-2770;-3385;2;0;0;-0.0477;-3386.0480
50;22.06.2009 00:00:00;400019;-82;-3300;3;0;0.05;-0.0498;-3316.90
50;22.06.2009 00:00:00;424280;-615;-3314;2;0;0;-0.0498;-3319.1818
50;24.06.2009 00:00:00;432993;2953;3461.1390;1;0;0.05;0.0500;3460.7979
50;24.06.2009 00:00:00;430185;5743;3461.1390;1;0;0.05;0.0500;3461.0057
50;24.06.2009 00:00:00;404290;96;3461.1390;1;0;0.05;0.0499;3450.9088
50;01.07.2009 00:00:00;429442;132;3636.2893;1;0;0.05;0.0500;3632.9736
50;01.07.2009 00:00:00;433271;-12;-3395;2;0;0;-0.0509;-3703.1782
50;01.07.2009 00:00:00;430130;-1032;-1452;2;0;0;-0.0200;-1452.4002
50;06.07.2009 00:00:00;400019;-82;-3398;2;0;0;-0.0492;-3398.08
50;08.07.2009 00:00:00;427577;-1131;-2390;3;0;0.05;-0.0347;-2391.3213
50;08.07.2009 00:00:00;400009;3016;8069;3;0;0.2;0.1172;8067.800
50;08.07.2009 00:00:00;430872;1175;1858.5481;1;0;0.0270;0.0270;1857.8297
50;08.07.2009 00:00:00;404290;-97;-3371;2;0;0;-0.0495;-3405.9204
50;10.07.2009 00:00:00;430185;-949;-689;3;0;0.05;-0.0099;-689.4980
50;13.07.2009 00:00:00;433011;-6464;-3079;2;0;0;-0.0434;-3079.1340
50;15.07.2009 00:00:00;427950;422;6199;3;0;0.2;0.0838;6192.6736
50;15.07.2009 00:00:00;424093;-11212;-3980;2;0;0;-0.0538;-3980.260
50;22.07.2009 00:00:00;430564;1662;3771.9844;1;0;0.05;0.0500;3770.1482
50;22.07.2009 00:00:00;427950;-197;-2746;3;0;0.1505167634221470966619363891;-0.0366;-2758.5756
50;24.07.2009 00:00:00;430185;-4795;-3464;2;0;0;-0.0450;-3464.5342
50;29.07.2009 00:00:00;430185;4670;3732.3932;1;0;0.05;0.0500;3731.5955
50;29.07.2009 00:00:00;430130;1893;3732.3932;1;0;0.05;0.0500;3731.9426
50;29.07.2009 00:00:00;427604;655;3732.3932;1;0;0.05;0.0500;3732.3160
50;29.07.2009 00:00:00;428190;433;3732.3932;1;0;0.05;0.0500;3732.2638
50;29.07.2009 00:00:00;427950;-810;-11219;2;0;0;-0.1503;-11219.3616
50;12.08.2009 00:00:00;403711;198;2814;3;0;0.10;0.0355;2811.6334
50;12.08.2009 00:00:00;427577;1000;3013;3;0;0.10;0.0381;3011.2595
50;12.08.2009 00:00:00;429442;-133;-3284;2;0;0;-0.0418;-3308.4577
50;12.08.2009 00:00:00;400009;-1116;-3268;3;0;0.1492633083284117241646988972;-0.0413;-3269.88
50;19.08.2009 00:00:00;407291;473;3156;3;0;0.10;0.0385;3154.1757
50;19.08.2009 00:00:00;430564;-1663;-3385;2;0;0;-0.0413;-3386.6310
50;26.08.2009 00:00:00;400839;151;2829;3;0;0.10;0.0326;2820.1545
50;26.08.2009 00:00:00;427577;2060;7609;3;0;0.2;0.0879;7608.5325
50;26.08.2009 00:00:00;400009;-3200;-10656;3;0;0.0319339532952807630652444171;-0.1231;-10656.00
50;02.09.2009 00:00:00;432992;1195;4086.6938;1;0;0.05;0.0500;4084.5918
50;02.09.2009 00:00:00;400009;-831;-2868;2;0;0;-0.0351;-2871.105
50;16.09.2009 00:00:00;403711;498;8509;3;0;0.2;0.0944;8504.4351
50;16.09.2009 00:00:00;427604;-656;-4302;2;0;0;-0.0478;-4308.2917
50;16.09.2009 00:00:00;430130;-1893;-4908;2;0;0;-0.0545;-4908.1469
50;30.09.2009 00:00:00;428661;442;4327.0352;1;0;0.05;0.0499;4321.3504
50;30.09.2009 00:00:00;432992;-1196;-4038;2;0;0;-0.0467;-4040.9274
50;07.10.2009 00:00:00;430185;-1216;-1546;3;0;0.05;-0.0176;-1546.5587
50;14.10.2009 00:00:00;417427;4;36;3;0;0.0659;0.0004;33.6881
50;21.10.2009 00:00:00;430185;-3454;-4528;2;0;0;-0.0474;-4528.0147
