TransactionDateTime;PortfolioAsof;Shares;TransactionType;SecurityId;PerformanceScore;RebalanceScore
;26.01.2000 00:00:00;;;400384;6.24;3.120
;26.01.2000 00:00:00;;;402331;5.44;2.720
;26.01.2000 00:00:00;;;405480;4.83;2.415
;26.01.2000 00:00:00;;;414013;0.67;0.871
;26.01.2000 00:00:00;;;414238;-0.22;-0.286
;27.01.2000 00:00:00;;;428530;46.45;265.28451090495559687054671059
;27.01.2000 00:00:00;;;400061;49.03;187.85619059553673682202552070
;27.01.2000 00:00:00;;;405359;42.81;180.14112754539414108881052353
;27.01.2000 00:00:00;;;428361;35.67;133.87590159720400551088416141
;27.01.2000 00:00:00;;;425095;30.62;77.965426486979430540074982261
;27.01.2000 00:00:00;;;408644;20.83;70.689554913294797687861271682
;27.01.2000 00:00:00;;;428024;24.59;67.520045316318210115744324524
;27.01.2000 00:00:00;;;403730;14.58;50.523917539909095120642543914
;27.01.2000 00:00:00;;;408676;12.89;45.777869069543102692273962989
;27.01.2000 00:00:00;;;431645;31.23;40.599
;27.01.2000 00:00:00;;;403790;30.25;39.325
;27.01.2000 00:00:00;;;404161;11.90;36.713338602308997221856655908
;27.01.2000 00:00:00;;;412620;9.77;36.509041683820857428659077630
;27.01.2000 00:00:00;;;400027;12.18;31.127416306269660415137347380
;27.01.2000 00:00:00;;;407892;23.43;30.459
;27.01.2000 00:00:00;;;404248;11.19;14.547
;27.01.2000 00:00:00;;;414435;6.40;8.320
;31.01.2000 00:00:00;;;428530;40.00;204.48918627293689816693563356
;31.01.2000 00:00:00;;;428361;40.10;176.80017291741739510286279934
;31.01.2000 00:00:00;;;405359;41.33;169.30394996156125247021036825
;31.01.2000 00:00:00;;;400061;44.83;152.67732674830224618757238878
;31.01.2000 00:00:00;;;431645;35.06;88.45138201795067656045395023
;31.01.2000 00:00:00;;;403730;18.05;76.720369527251577442284647490
;31.01.2000 00:00:00;;;408644;19.84;63.492410849266340595820364615
;31.01.2000 00:00:00;;;428024;22.24;56.715763736632145834248712269
;31.01.2000 00:00:00;;;404248;14.63;39.171480368535441694903651985
;31.01.2000 00:00:00;;;403790;27.69;35.997
;31.01.2000 00:00:00;;;408676;10.54;35.733585547662895729194071738
;31.01.2000 00:00:00;;;404161;11.37;34.633005628596509749533240098
;31.01.2000 00:00:00;;;400027;11.31;26.076479290480148355404221185
;31.01.2000 00:00:00;;;407892;19.09;24.817
;31.01.2000 00:00:00;;;412620;6.30;17.879870355892988361777328856
;31.01.2000 00:00:00;;;414435;8.04;10.452
;31.01.2000 00:00:00;;;425095;-4.67;-12.396304130650550189813508358
;01.02.2000 00:00:00;;;428530;40.87;217.64508301167410651088608072
;01.02.2000 00:00:00;;;405359;45.99;212.78919564225151504645569939
;01.02.2000 00:00:00;;;428361;41.18;185.67549224999400257489451196
;01.02.2000 00:00:00;;;400061;44.52;149.35554266398138132110383493
;01.02.2000 00:00:00;;;403730;19.96;87.40296914961587421366702575
;01.02.2000 00:00:00;;;431645;34.67;82.42860835538520296813618508
;01.02.2000 00:00:00;;;428024;25.09;74.705011337969867964432249045
;01.02.2000 00:00:00;;;408644;21.19;71.157508670520231213872832377
;01.02.2000 00:00:00;;;412620;10.30;38.261350445569913603681721479
;01.02.2000 00:00:00;;;404161;11.41;36.174173611291804549444732885
;01.02.2000 00:00:00;;;400027;13.47;35.031648315782830470731249600
;01.02.2000 00:00:00;;;403790;23.42;30.446
;01.02.2000 00:00:00;;;408676;9.25;28.786619749188809962290625272
;01.02.2000 00:00:00;;;404248;10.88;25.474828386213505835643632127
;01.02.2000 00:00:00;;;407892;19.09;24.817
;01.02.2000 00:00:00;;;414435;10.06;13.078
;01.02.2000 00:00:00;;;425095;-5.95;-16.704497687750772229609952227
;02.02.2000 00:00:00;;;405359;52.44;288.81219710410077981197615874
;02.02.2000 00:00:00;;;400061;57.30;279.04772016047739917026258946
;02.02.2000 00:00:00;;;428530;43.19;243.19531225639622125121506969
;02.02.2000 00:00:00;;;428361;41.20;175.54344035119205186095904301
;02.02.2000 00:00:00;;;428024;26.36;84.80108291900808890418757751
;02.02.2000 00:00:00;;;403730;19.36;79.78622284245350225360918278
;02.02.2000 00:00:00;;;408644;21.79;75.982088483770564695420186755
;02.02.2000 00:00:00;;;412620;10.59;42.466437852578880435485827645
;02.02.2000 00:00:00;;;431645;32.23;41.899
;02.02.2000 00:00:00;;;400027;14.81;39.908647623999751884632805165
;02.02.2000 00:00:00;;;403790;28.12;36.556
;02.02.2000 00:00:00;;;404161;11.00;32.610595268912995376510009850
;02.02.2000 00:00:00;;;407892;23.21;30.173
;02.02.2000 00:00:00;;;414435;12.78;29.505132711156352333385477867
;02.02.2000 00:00:00;;;408676;6.74;19.026269928966061562746645618
;02.02.2000 00:00:00;;;404248;8.71;11.323
;02.02.2000 00:00:00;;;404195;20.39;10.195
;02.02.2000 00:00:00;;;400010;11.77;5.885
;02.02.2000 00:00:00;;;405388;8.68;4.340
;02.02.2000 00:00:00;;;405480;5.80;2.900
;02.02.2000 00:00:00;;;403757;4.28;2.140
;02.02.2000 00:00:00;;;430130;3.68;1.840
;02.02.2000 00:00:00;;;403713;3.62;1.810
;02.02.2000 00:00:00;;;430564;2.98;1.490
;02.02.2000 00:00:00;;;426897;2.57;1.285
;02.02.2000 00:00:00;;;425095;-6.53;-17.287409821086274376959673935
;03.02.2000 00:00:00;;;405359;54.99;345.31887782998718496369073043
;03.02.2000 00:00:00;;;428530;44.78;260.69980260661941657779749154
;03.02.2000 00:00:00;;;400061;54.27;260.64175768992834886705542888
;03.02.2000 00:00:00;;;428361;46.54;259.87787886522785278553271647
;03.02.2000 00:00:00;;;428024;31.70;123.80949679914344356601128644
;03.02.2000 00:00:00;;;403730;20.42;87.69860560286488238009251672
;03.02.2000 00:00:00;;;408644;23.42;84.68584526456202756780791463
;03.02.2000 00:00:00;;;403790;35.79;83.89971974214343271555197422
;03.02.2000 00:00:00;;;414435;22.68;82.38761469160854333687385618
;03.02.2000 00:00:00;;;407892;28.50;75.824519776037418761927915050
;03.02.2000 00:00:00;;;404161;13.51;52.256418345580206777165715305
;03.02.2000 00:00:00;;;412620;10.67;44.293741697879022254517913797
;03.02.2000 00:00:00;;;408676;10.95;37.183618784530386740331491713
;03.02.2000 00:00:00;;;400027;14.17;36.852149713039547718653437775
;03.02.2000 00:00:00;;;431645;27.95;36.335
;03.02.2000 00:00:00;;;404248;9.14;11.882
;07.02.2000 00:00:00;;;405359;65.40;581.95663391712943186672362239
;07.02.2000 00:00:00;;;400061;65.69;416.01762574272021197962069611
;07.02.2000 00:00:00;;;428361;45.42;271.98097788551326564733841406
;07.02.2000 00:00:00;;;428530;44.21;259.50020955508787824451134536
;07.02.2000 00:00:00;;;407892;36.16;132.97125156257748702875353740
;07.02.2000 00:00:00;;;428024;32.15;119.68049848262398668293145690
;07.02.2000 00:00:00;;;431645;34.37;89.70218327746480794412920123
;07.02.2000 00:00:00;;;403730;19.85;83.49268012937242454085632201
;07.02.2000 00:00:00;;;408644;20.69;65.982608714984437527790128944
